supplier name,supplier identifier,web site,description,account number,rating,address type,address line1,address line2,city,zip code,province region,us state,country/region,company phone type 1,company phone number 1,company phone extension 1,company phone notes 1,first names,Last Name,title,email,contact phone type 1,contact phone number 1,contact phone extension 1,contact phone type 2,contact phone number 2,contact phone extension 2,contact phone type 3,contact phone number 3,contact phone extension 3,creation date,modification date,Country of Origin
(MDD) Jiangsu Yutai Elec, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-02-21 07:46:56, ,China
**CORPORATE EXPRESS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:07:51, , 
**LUEN YICK PLASTIC PR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:23:45, , 
1000BULBS.COM,21191, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-09-19 15:07:30, , 
3CEMS, , , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:23,2023-09-11 12:47:16,China
3CEMS, , , , , , , , , , , , , , , , , ,Dan,Anderson, ,dan.anderson@infergence.com, , , , , , , , , , , ,China
3L, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:05,2021-09-08 09:37:34, 
3M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:05:56, , 
A-STAR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:17, , 
A.L.P. Lighting Components LLC,18154, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-05-10 10:53:25, , 
AAVID, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:07:44,2021-09-13 09:42:08, 
ABB, ,https://new.abb.com/, , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-31 13:49:35, ,China
ABC ELECTRONICS GROUP, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-01-04 01:02:32, , 
ABLE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:33:15, , 
ABRACON, , ,Use Abracon Corporation, ,disapproved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:19,2017-01-30 15:04:24, 
ABRACON CORPORATION, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:18:08, , 
ACST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:25:15, , 
Active-semi, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-06-08 01:48:19, , 
ADVANCED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:18:00, , 
ADVANCED POWER ELECTRONICS CORP, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2020-09-01 00:09:29, , 
AEROVOX, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:05:55, , 
AGILENT TECHNOLOGIES, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:19, , 
AGILSENSE (SATCOM & SENSOR), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:24, , 
AIC, , , , ,disapproved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:17:59,2017-01-30 15:11:04, 
AIC MAGNETICS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:08:04, , 
AIMO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:33:05, , 
AIMTEC, ,http://www.aimtec.com, , ,approved, , , , , , , , ,main,1-514-620-2725, , , , , , , , , , , , , , , ,2017-05-24 23:05:41, , 
AIMTEC, , , , , ,main,205 rue Joseph Carrier, ,Vaudreuil-Dorion,J7V 5V5,Quebec, ,Canada, , , , , , , , , , , , , , , , , , , , 
Airgain, , , , ,approved, , , , , , , , ,main,760-579-0200, , , , , , , , , , , , , , , ,2018-08-03 14:55:19, ,USA
Airgain, , , , , ,main,"3611 Valley Centre Drive , Ste.150", ,San Diego,92130, ,CALIFORNIA,United States, , , , , , , , , , , , , , , , , , , ,USA
AL-CAP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:10, , 
All West Container Company,6604, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-06-13 10:30:29, ,USA
ALLEGRO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:15, , 
Alliance Memory, ,https://www.alliancememory.com/, , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-01-25 23:37:22, , 
Allied Electronics,13256,https://www.alliedelec.com/, , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-03-25 12:57:51, , 
ALPHA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:25:29, , 
