supplier name,supplier identifier,web site,description,account number,rating,address type,address line1,address line2,city,zip code,province region,us state,country/region,company phone type 1,company phone number 1,company phone extension 1,company phone notes 1,first names,Last Name,title,email,contact phone type 1,contact phone number 1,contact phone extension 1,contact phone type 2,contact phone number 2,contact phone extension 2,contact phone type 3,contact phone number 3,contact phone extension 3,creation date,modification date,Country of Origin
(MDD) Jiangsu Yutai Elec, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-02-21 07:46:56, ,China
1000BULBS.COM,21191, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-09-19 15:07:30, , 
3CEMS, , , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:21:23,2023-09-11 12:47:16,China
3L, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:05,2021-09-08 09:37:34, 
A.L.P. Lighting Components LLC,18154, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-05-10 10:53:25, , 
AAVID, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:07:44,2021-09-13 09:42:08, 
ABB, ,https://new.abb.com/, , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-31 13:49:35, ,China
ABC ELECTRONICS GROUP, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-01-04 01:02:32, , 
ABRACON, , ,Use Abracon Corporation, ,disapproved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:19,2017-01-30 15:04:24, 
Active-semi, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-06-08 01:48:19, , 
ADVANCED POWER ELECTRONICS CORP, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2020-09-01 00:09:29, , 
AIC, , , , ,disapproved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:17:59,2017-01-30 15:11:04, 
AIMTEC, ,http://www.aimtec.com, , ,approved, , , , , , , , ,main,1-514-620-2725, , , , , , , , , , , , , , , ,2017-05-24 23:05:41, , 
Airgain, , , , ,approved, , , , , , , , ,main,760-579-0200, , , , , , , , , , , , , , , ,2018-08-03 14:55:19, ,USA
All West Container Company,6604, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-06-13 10:30:29, ,USA
Alliance Memory, ,https://www.alliancememory.com/, , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-01-25 23:37:22, , 
Allied Electronics,13256,https://www.alliedelec.com/, , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-03-25 12:57:51, , 
ALPHA ANALOG TECHNOLOGY, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-05-16 19:50:54, ,China
Amatis Controls LLC,31342, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2016-12-14 15:06:47,2017-03-21 09:22:03,USA
AMAZON.COM, , ,No not use, ,disapproved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:08:05,2019-05-23 14:35:47, 
AMPEROR DIRECT,31621, , , ,approved,main,11320 NEESHAW DR, ,Houston,77065, ,TEXAS,United States, , , , , , , , , , , , , , , , , ,2017-04-25 08:23:18, ,USA
ams, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-04-11 21:00:26, , 
Anagraphica,27010,http://www.anagraphica.com/, , ,approved, , , , , , , , ,Toll Free,800 -747-5796, , , , , , , , , , , , , , , ,2017-12-06 08:53:49,2018-10-04 11:16:03,USA
ANDREWS FABRICATION INC,35444, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2020-01-03 09:09:40,2020-01-15 12:56:41,USA
Anixter,7166,https://www.anixter.com, , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-17 10:18:01,2018-10-31 14:18:52, 
ARC Wireless Solutions, , , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-08-12 13:44:41, ,USA
Automatic Manufacturing Ltd.,AML, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 07:28:29,2019-06-03 16:32:52,China
AVALAN WIRELESS, , , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:18:02,2015-08-13 09:19:19, 
Avnet, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2017-12-18 10:11:56, , 
Bel Fuse Inc., , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2019-05-30 10:58:49, , 
BELL ELECTRICAL SUPPLY,6742, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:06:12,2018-10-31 14:01:26, 
BESTAR, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-06-01 00:31:37, , 
Bisco, , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-09 09:37:38, , 
Boss Safety Products,34471, , , ,approved, , , , , , , , , , , , , , , , , , , , , , , , , ,2018-09-21 15:57:05,2018-12-18 10:39:45, 
Bourns Inc., , , , ,unrated, , , , , , , , , , , , , , , , , , , , , , , , , ,2015-02-11 08:18:15,2016-11-30 15:58:20, 
Cables 2 Go, , ,Use: LASTAR ELECTRONICS (DONGGUAN) CO LTD, ,disapproved, , , , , , , , ,main,800-506-9607, , , , , , , , , , , , , , , ,2017-01-19 08:47:03,2019-12-04 08:31:47,China
